GEO,SEX,AGE,UNIT,ISCED11\TIME	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Greece,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	60.0	58.6	59.2	60.3	60.4	61.5	62.9	64.1	65.5	66.9
Spain,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	48.3	49.1	49.9	50.2	50.5	51.9	53.0	53.6	54.4	55.5
France,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	64.5	65.0	66.0	67.0	67.6	68.1	68.8	69.6	72.0	73.5
Croatia,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	70.7	71.7	73.3	74.1	74.7	74.6	75.4	76.9	77.6	79.2
Italy,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	49.4	50.5	51.3	52.1	52.9	53.7	54.5	55.8	56.6	57.7
Cyprus,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	63.8	66.4	68.9	69.6	68.8	70.4	71.7	73.6	74.6	73.9
Latvia,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	75.4	75.4	76.0	77.2	78.5	80.5	80.5	82.6	83.4	83.9
Lithuania,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	79.2	79.3	80.1	81.5	82.0	82.9	84.1	85.0	85.6	85.8
Luxembourg,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	61.3	60.7	61.3	63.2	71.5	71.1	70.9	71.6	73.9	75.1
Hungary,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	71.5	72.7	73.7	74.2	75.0	75.6	75.7	76.5	77.2	78.0
Malta,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	31.1	32.5	32.7	34.9	38.0	39.7	41.1	43.3	45.1	46.4
Netherlands,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	67.4	67.7	68.5	68.7	68.8	68.1	68.4	69.2	71.0	71.2
Austria,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	75.5	75.0	74.6	75.4	76.2	76.8	76.9	77.6	77.8	79.7
Poland,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	78.2	79.0	79.6	80.4	81.3	82.0	82.5	83.3	83.9	84.5
Portugal,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	27.3	28.3	28.6	29.2	30.8	32.7	35.8	38.4	40.6	43.7
Romania,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	66.7	67.9	69.1	69.8	69.8	69.4	70.0	70.8	71.1	68.8
Slovenia,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	76.0	77.2	77.8	78.1	79.2	79.1	80.3	81.0	81.5	81.6
Slovakia,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	80.0	81.1	81.6	82.4	83.5	83.7	84.3	85.0	85.3	84.8
Finland,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	73.0	73.8	74.6	74.9	75.6	76.4	77.1	78.2	79.2	79.9
Sweden,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	78.7	73.1	73.5	73.8	74.6	75.0	75.6	76.2	77.1	77.9
United Kingdom,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	71.6	72.5	73.0	73.1	74.3	75.9	76.2	77.8	78.3	79.1
Iceland,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	56.3	56.2	57.2	57.5	58.8	59.4	63.1	63.5	64.8	66.1
Norway,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	83.3	70.7	70.7	72.8	73.9	74.3	74.6	75.5	76.4	75.4
Switzerland,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	76.3	78.1	78.9	79.6	79.5	79.2	79.2	80.1	81.0	81.9
Former Yugoslav Republic of Macedonia, the,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	:	56.0	58.7	57.5	59.5	60.6	62.0	63.1	63.9	64.1
Turkey,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	:	28.3	29.2	29.4	29.2	29.3	30.0	31.5	32.3	32.6
