GEO,SEX,AGE,UNIT,ISCED11\TIME	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Spain,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	26.1	26.4	26.8	27.0	27.4	28.4	29.3	30.0	30.9	31.7
France,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	23.4	24.0	24.4	24.8	25.9	26.2	26.7	27.7	28.9	29.7
Croatia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	13.4	13.6	13.4	13.6	14.5	15.7	15.4	15.8	17.0	18.5
Italy,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	10.8	11.4	12.0	12.7	12.8	13.0	13.2	13.9	14.4	15.0
Cyprus,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	25.7	27.6	29.7	31.0	30.5	32.1	33.7	35.0	35.4	36.4
Latvia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	16.9	17.4	18.5	20.7	21.4	22.6	23.6	25.2	27.0	26.9
Lithuania,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	22.4	22.0	23.7	25.3	25.5	26.9	27.9	28.6	29.8	31.4
Luxembourg,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	23.0	20.5	22.7	23.7	30.2	30.3	31.7	33.4	35.2	39.6
Hungary,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	14.5	15.0	15.4	16.4	16.9	17.1	18.0	19.0	19.5	20.2
Malta,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	10.3	11.1	11.7	12.1	12.8	14.2	15.1	16.4	17.2	18.0
Netherlands,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	26.2	26.2	26.7	27.8	28.4	27.7	28.0	28.6	29.3	29.7
Austria,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	15.0	14.7	14.6	15.0	16.0	16.2	16.3	16.9	17.7	27.4
Poland,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	13.9	14.9	15.7	16.5	18.1	19.4	20.3	21.5	22.6	23.8
Portugal,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	11.1	11.7	12.0	12.6	13.1	13.9	15.5	16.7	17.6	19.7
Romania,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	9.1	9.6	9.9	10.7	11.2	11.9	12.9	13.5	13.8	14.2
Slovenia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	16.7	17.8	18.5	19.0	19.6	20.2	21.6	23.0	24.4	25.1
Slovakia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	11.4	11.9	11.9	12.3	13.4	15.1	16.4	17.0	17.7	18.1
Finland,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	28.6	29.0	30.0	30.2	30.9	31.6	32.5	32.8	33.6	34.7
Sweden,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	25.9	25.9	26.4	26.9	27.6	28.2	29.1	30.1	31.4	32.8
United Kingdom,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	26.7	27.6	28.7	28.7	30.0	31.6	33.2	34.6	35.6	36.6
Iceland,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	24.9	24.0	24.8	25.5	26.5	26.3	27.4	28.5	29.3	30.0
Norway,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	28.4	28.2	29.2	30.2	30.7	31.4	32.1	33.0	34.2	36.1
Switzerland,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	24.2	25.2	26.5	28.5	29.6	30.0	30.0	31.2	33.2	34.4
Former Yugoslav Republic of Macedonia, the,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	:	10.6	11.7	11.0	12.5	13.3	15.0	15.7	15.1	15.2
Turkey,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	:	8.4	8.8	9.5	10.0	10.5	11.3	12.4	13.0	13.6
