GEO,SEX,AGE,UNIT,ISCED11\TIME	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Luxembourg,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	38.3	40.2	38.6	39.5	41.3	40.8	39.3	38.2	38.6	35.5
Hungary,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	56.9	57.7	58.3	57.8	58.1	58.5	57.7	57.5	57.8	57.7
Malta,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	20.7	21.5	21.0	22.8	25.2	25.6	26.0	26.9	27.9	28.4
Netherlands,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	41.2	41.5	41.9	40.8	40.4	40.4	40.4	40.6	41.6	41.4
Austria,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	60.5	60.3	60.0	60.4	60.2	60.5	60.6	60.8	60.2	52.4
Poland,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	64.3	64.2	63.9	63.8	63.2	62.6	62.2	61.8	61.3	60.7
Portugal,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	16.3	16.7	16.6	16.6	17.7	18.8	20.3	21.7	23.0	24.0
Romania,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	57.6	58.4	59.1	59.2	58.6	57.5	57.2	57.3	57.3	54.6
Slovenia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	59.4	59.4	59.3	59.2	59.6	58.9	58.8	58.0	57.1	56.5
Slovakia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	68.7	69.2	69.7	70.1	70.1	68.7	68.0	68.0	67.5	66.7
Finland,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	44.5	44.8	44.6	44.6	44.7	44.8	44.6	45.4	45.6	45.2
Sweden,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	52.8	47.2	47.1	47.0	47.0	46.7	46.5	46.1	45.7	45.0
United Kingdom,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	44.8	44.9	44.3	44.4	44.2	44.2	43.0	43.1	42.7	42.5
Iceland,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	31.4	32.2	32.4	32.0	32.3	33.0	35.7	35.1	35.5	36.1
Norway,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	54.9	42.4	41.5	42.6	43.2	42.9	42.5	42.4	42.2	39.3
Switzerland,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	52.0	52.9	52.3	51.1	49.9	49.3	49.2	48.9	47.8	47.5
Former Yugoslav Republic of Macedonia, the,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	:	45.4	47.0	46.4	47.0	47.3	47.0	47.5	48.8	48.9
Turkey,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)	:	19.9	20.4	19.9	19.2	18.8	18.7	19.1	19.3	19.0
